id_plan,id_tipo,id_matrice,data_effettiva,id_campione,operatore_effettivo,parametro,udm,valore,incertezza,argomento
8,2,55,2024-03-25,5635,"Magherini, Risso",pirene,mg/kg,0.093,,QC
8,2,55,2024-03-25,5635,"Magherini, Risso",benzo(a)antracene,mg/kg,0.085,,QC
8,2,55,2024-03-25,5635,"Magherini, Risso",crisene,mg/kg,0.114,,QC
8,2,55,2024-03-25,5635,"Magherini, Risso",benzo(b+j)fluorantene,mg/kg,0.083,,QC
8,2,55,2024-03-25,5635,"Magherini, Risso",benzo(k)fluorantene,mg/kg,0.106,,QC
8,2,55,2024-03-25,5635,"Magherini, Risso",benzo(a)pirene,mg/kg,0.090,,QC
8,2,55,2024-03-25,5635,"Magherini, Risso","indeno(1,2,3-c,d)pirene",mg/kg,0.092,,QC
8,2,55,2024-03-25,5635,"Magherini, Risso","dibenzo(a,h)antracene",mg/kg,0.106,,QC
8,2,55,2024-03-25,5635,"Magherini, Risso","benzo(g,h,i)perilene",mg/kg,0.104,,QC
10,2,55,2024-03-25,5679,"Magherini, Risso",pirene,mg/kg,0.093,,QC
10,2,55,2024-03-25,5679,"Magherini, Risso",benzo(a)antracene,mg/kg,0.083,,QC
10,2,55,2024-03-25,5679,"Magherini, Risso",crisene,mg/kg,0.111,,QC
10,2,55,2024-03-25,5679,"Magherini, Risso",benzo(b+j)fluorantene,mg/kg,0.079,,QC
10,2,55,2024-03-25,5679,"Magherini, Risso",benzo(k)fluorantene,mg/kg,0.101,,QC
10,2,55,2024-03-25,5679,"Magherini, Risso",benzo(a)pirene,mg/kg,0.091,,QC
10,2,55,2024-03-25,5679,"Magherini, Risso","indeno(1,2,3-c,d)pirene",mg/kg,0.083,,QC
10,2,55,2024-03-25,5679,"Magherini, Risso","dibenzo(a,h)antracene",mg/kg,0.105,,QC
10,2,55,2024-03-25,5679,"Magherini, Risso","benzo(g,h,i)perilene",mg/kg,0.101,,QC
1,3,55,2024-04-29,7597,Bazzano,pirene,mg/kg,1.510,,QC
1,3,55,2024-04-29,7597,Bazzano,benzo(a)antracene,mg/kg,0.5155,,QC
1,3,55,2024-04-29,7597,Bazzano,crisene,mg/kg,0.3227,,QC
1,3,55,2024-04-29,7597,Bazzano,benzo(b+j)fluorantene,mg/kg,0.3117,,QC
1,3,55,2024-04-29,7597,Bazzano,benzo(k)fluorantene,mg/kg,0.1004,,QC
1,3,55,2024-04-29,7597,Bazzano,benzo(a)pirene,mg/kg,0.2056,,QC
1,3,55,2024-04-29,7597,Bazzano,"indeno(1,2,3-c,d)pirene",mg/kg,0.119,,QC
1,3,55,2024-04-29,7597,Bazzano,"dibenzo(a,h)antracene",mg/kg,0.0443,,QC
1,3,55,2024-04-29,7597,Bazzano,"benzo(g,h,i)perilene",mg/kg,0.0951,,QC
4,2,55,2024-05-15,10090,Magherini,pirene,mg/kg,0.088,,QC
4,2,55,2024-05-15,10090,Magherini,benzo(a)antracene,mg/kg,0.086,,QC
4,2,55,2024-05-15,10090,Magherini,crisene,mg/kg,0.084,,QC
4,2,55,2024-05-15,10090,Magherini,benzo(b+j)fluorantene,mg/kg,0.093,,QC
4,2,55,2024-05-15,10090,Magherini,benzo(k)fluorantene,mg/kg,0.089,,QC
4,2,55,2024-05-15,10090,Magherini,benzo(a)pirene,mg/kg,0.096,,QC
4,2,55,2024-05-15,10090,Magherini,"indeno(1,2,3-c,d)pirene",mg/kg,0.102,,QC
4,2,55,2024-05-15,10090,Magherini,"dibenzo(a,h)antracene",mg/kg,0.089,,QC
4,2,55,2024-05-15,10090,Magherini,"benzo(g,h,i)perilene",mg/kg,0.104,,QC
8,2,55,2024-03-25,5636,"Magherini, Risso",pirene,mg/kg,0.102,,QC
8,2,55,2024-03-25,5636,"Magherini, Risso",benzo(a)antracene,mg/kg,0.093,,QC
8,2,55,2024-03-25,5636,"Magherini, Risso",crisene,mg/kg,0.122,,QC
8,2,55,2024-03-25,5636,"Magherini, Risso",benzo(b+j)fluorantene,mg/kg,0.119,,QC
8,2,55,2024-03-25,5636,"Magherini, Risso",benzo(k)fluorantene,mg/kg,0.098,,QC
8,2,55,2024-03-25,5636,"Magherini, Risso",benzo(a)pirene,mg/kg,0.098,,QC
8,2,55,2024-03-25,5636,"Magherini, Risso","indeno(1,2,3-c,d)pirene",mg/kg,0.094,,QC
